lat,lon,use_type,use_code,year_built,gross_area,story_height,number_of_stories,address,Address,Type,fire_late,fire_early,Fire_final
0.0,0.0,R,Clubhouse,1970.0,638.0,12.0,1.0,"313 13TH ST Charlottesville, VA",313 13TH ST,Commercial,0,0.0,0.0
0.0,0.0,R,Apartments over 20 units,1924.0,31616.0,8.0,2.0,"313 13TH ST Charlottesville, VA",313 13TH ST,Commercial,0,0.0,0.0
38.0229068,-78.5200952,R,Office Building,1996.0,5700.0,10.0,1.5,"213 STRIBLING AVE Charlottesville, VA",213 STRIBLING AVE,Commercial,0,0.0,0.0
38.0441967,-78.4671355,R,Commercial,1987.0,1342.0,11.0,1.0,"1012 ASHBY PL Charlottesville, VA",1012 ASHBY PL,Commercial,0,0.0,0.0
38.044115000000005,-78.467506,R,Commercial,1987.0,1414.0,11.0,1.0,"1010 ASHBY PL Charlottesville, VA",1010 ASHBY PL,Commercial,0,0.0,0.0
38.044265959183704,-78.4660506326531,R,Multiple Commercial Use,1987.0,2212.0,11.0,1.0,"702 DELL LN Charlottesville, VA",702 DELL LN,Commercial,0,0.0,0.0
38.0604007405818,-78.4867794858263,R,Office Building,1990.0,3168.0,12.0,1.0,"2111 MICHIE DR Charlottesville, VA",2111 MICHIE DR,Commercial,0,0.0,0.0
38.022884499999996,-78.5206085,R,Office Building,1996.0,3800.0,12.0,1.0,"219 STRIBLING AVE Charlottesville, VA",219 STRIBLING AVE,Commercial,0,0.0,0.0
38.0386862,-78.4909481,R,Service Repair Garage,1973.0,2700.0,12.0,1.0,"1104 GRADY AVE Charlottesville, VA",1104 GRADY AVE,Commercial,0,0.0,0.0
38.0404404,-78.4923647,R,Service Repair Garage,1977.0,900.0,12.0,1.0,"1011 PRESTON AVE Charlottesville, VA",1011 PRESTON AVE,Commercial,0,0.0,0.0
38.0408927181372,-78.4922876195021,R,Service Repair Garage,1963.0,648.0,10.0,1.0,"1011 PRESTON AVE Charlottesville, VA",1011 PRESTON AVE,Commercial,0,0.0,0.0
38.01989615,-78.469686141812,R,Office,0.0,,,,"1313 HAMPTON ST Charlottesville, VA",1313 HAMPTON ST,Commercial,0,0.0,0.0
38.01954105,-78.46992235,R,Day Care Center,2013.0,4495.0,10.0,1.0,"1314 HAMPTON ST Charlottesville, VA",1314 HAMPTON ST,Commercial,0,0.0,0.0
38.0564456,-78.47219740000001,R,Day Care Center,,,,,"1312 CARTER LN Charlottesville, VA",1312 CARTER LN,Commercial,0,0.0,0.0
38.0560898,-78.471487,R,Group Care Home,1920.0,3714.0,12.0,2.0,"1306 CARTER LN Charlottesville, VA",1306 CARTER LN,Commercial,0,0.0,0.0
38.055606,-78.472792,R,Group Care Home,1920.0,280.0,12.0,1.0,"1323 KENWOOD LN Charlottesville, VA",1323 KENWOOD LN,Commercial,0,0.0,0.0
38.0557859,-78.4700661,R,Office Building,1957.0,1804.0,8.0,1.0,"1302 KENWOOD LN Charlottesville, VA",1302 KENWOOD LN,Commercial,0,0.0,0.0
38.055443,-78.47282299999999,R,Office Building,1957.0,1125.0,12.0,1.0,"1324 KENWOOD LN Charlottesville, VA",1324 KENWOOD LN,Commercial,0,0.0,0.0
38.034175918367296,-78.4654534081633,R,Office Building,1971.0,1652.0,10.0,1.0,"806 VALLEY VIEW CIR Charlottesville, VA",806 VALLEY VIEW CIR,Commercial,0,0.0,0.0
38.01506285,-78.4809116051928,R,Office Building,1971.0,3776.0,10.0,1.0,"907 ROUGEMONT AVE Charlottesville, VA",907 ROUGEMONT AVE,Commercial,0,0.0,0.0
38.025292,-78.454298,R,Office Building,1971.0,1652.0,10.0,1.0,"330 RIVERSIDE AVE Charlottesville, VA",330 RIVERSIDE AVE,Commercial,0,1.0,1.0
38.025292,-78.454298,R,Office Building,1971.0,1652.0,10.0,1.0,"330 RIVERSIDE AVE Charlottesville, VA",330 RIVERSIDE AVE,Commercial,0,1.0,1.0
38.03374685,-78.48078640311171,R,Office Building,1971.0,3776.0,10.0,1.0,"407 ALTAMONT CIR Charlottesville, VA",407 ALTAMONT CIR,Commercial,0,0.0,0.0
38.0303887480794,-78.4635880666929,R,Office Building,1946.0,419.0,8.0,1.0,"525 CAROLINE AVE Charlottesville, VA",525 CAROLINE AVE,Commercial,0,0.0,0.0
38.0307634852456,-78.4644504757209,R,Apartments 1-10 units,1946.0,1198.0,8.0,2.0,"526 MEADE AVE Charlottesville, VA",526 MEADE AVE,Commercial,0,1.0,1.0
38.0309344,-78.4634063,R,Apartments 1-10 units,1946.0,379.0,8.0,1.0,"519 CAROLINE AVE Charlottesville, VA",519 CAROLINE AVE,Commercial,0,0.0,0.0
38.017504,-78.48390699999999,R,Office Building,1925.0,2642.0,10.0,2.0,"1394 AVON ST Charlottesville, VA",1394 AVON ST,Commercial,0,0.0,0.0
38.017225117150396,-78.4718598182286,R,Multiple Commercial Use,1970.0,17465.0,12.0,1.0,"949 RIVES ST Charlottesville, VA",949 RIVES ST,Commercial,0,0.0,0.0
38.0208473,-78.47650420000002,R,Medical Office,1977.0,4500.0,10.0,1.0,"906 BLENHEIM AVE Charlottesville, VA",906 BLENHEIM AVE,Commercial,0,0.0,0.0
38.03704889999999,-78.47570499999998,R,Apartments 1-10 units,1925.0,3062.0,8.0,2.0,"705 PARK ST Charlottesville, VA",705 PARK ST,Commercial,0,0.0,0.0
38.03623740000001,-78.47574940000001,R,Apartments 1-10 units,1925.0,100.0,8.0,1.0,"627 PARK ST Charlottesville, VA",627 PARK ST,Commercial,0,0.0,0.0
38.03479799999999,-78.475207,R,Multiple Commercial Use,1935.0,1323.0,12.0,1.0,"540 PARK ST Charlottesville, VA",540 PARK ST,Commercial,0,0.0,0.0
38.023876,-78.49526399999998,R,Office,2001.0,2366.0,12.0,1.0,"721 PROSPECT AVE Charlottesville, VA",721 PROSPECT AVE,Commercial,0,0.0,0.0
38.0208324,-78.4961713,R,Office,2001.0,2246.0,12.0,1.0,"614 BAILEY RD Charlottesville, VA",614 BAILEY RD,Commercial,0,0.0,0.0
